issn;e_issn;title;short_title
0081-0207;;Smithsonian annals of flight;Smithson Ann Flight
0017-8055;;Harvard educational review;Harv Educ Rev
0971-9601;;ActionAid disability news;Actionaid Disabil News
0272-3433;;The Public historian;Public Hist
0736-4377;;Chiropractic history;Chiropr Hist
0148-4737;;Paleopathology newsletter;Paleopathol Newsl
0001-4176;;Bulletin des seances;Bull Seances Acad R Sci Outre Mer
0447-3353;;James Arthur lecture on the evolution of the human brain;James Arthur Lect
0176-3989;;Deutsches Arzteblatt;Dtsch Arztebl
0001-5865;;Acta historica medicinae;Acta Hist Med Pharm Vet
0068-2519;;Transactions of the British Society for the History of Pharmacy;Trans Br Soc Hist Pharm
0303-4658;;Aere perennius;Aere Perennius
0303-4593;;Munstersche Beitrage zur Geschichte und Theorie der Medizin;Munstersche Beitr Gesch Theor Med
0301-102X;;Bulletin;Bull J Rylands Univ Libr Manchester
0003-9756;;Archives europeennes de sociologie;Arch Eur Sociol
0378-2859;;Ankara Universitesi Yilligi;Ann Univ Ankara
0066-4456;;Annuale mediaevale;Annu Mediaev
0570-2771;;Antaios;Antaios
0066-4774;;Antichthon;Antichthon
0003-5653;;Antiek;Antiek
0003-570X;;Antike Welt;Antike Welt
0003-5769;;The Antioch review;Antioch Rev
0770-2817;;L;Antiq Class
0023-589X;;Kwartalnik historii nauki i techniki;Kwart Hist Nauki Tech
0035-9238;;Journal of the Royal Statistical Society;J R Stat Soc Ser A
0145-3378;;The Journal of psychohistory;J Psychohist
0003-598X;;Antiquity;Antiquity
0210-5810;;Anuario de estudios americanos;Anu Estud Am
0570-4065;;Anuario de estudios Atlanticos;Anu Estud Atl
0066-5061;;Anuario de estudios medievales;Anu Estud Mediev
0074-039X;;Anuarul Institutului de Istorie si Arheologie;Anu Isnt Istor Arheol Xenopol
0003-6293;;Anzeiger fur die Altertumswissenschaft;Anz Altertwiss
0511-0726;;A;A A G Bijdr
0311-3248;;ANZHES journal;Anzhes J
0001-0340;;AB bookman;AB Bookm Wkly
0347-2965;;Arbetarrorelsens arsbok;Arbetarrorel Arsb
0003-9233;;Archiv fur Kultur;Arch Kulturgesch
0003-9632;;Archives de philosophie;Arch Philos
0065-0382;;Abr;Abr Nahain
0001-4451;;Accademie e biblioteche d;Accad Bibl Ital
0137-6616;;Archeologia;Archeologia
0003-9500;;Der Archivar;Archivar
0090-3779;;Appalachian journal;Appalach J
0271-3519;;Arab studies quarterly;Arab Stud Q
0570-5398;;Arabica;Arabica
0066-6327;;Archiv fur Geschichte des Buchwesens;Arch Gesch Buchwes
0004-0452;;Archivo ibero;Arch Ibero Am
0066-6610;;Archives internationales d;Arch Int Hist Idees
0044-8699;;Archiv orientalni;Arch Orient
0066-6440;;Archiv fur Orientforschung;Arch Orientforsch
0001-2068;;ANU historical journal;ANU Hist J
0515-0612;;Aachener Kunstblatter;Aachen Kunstbl
0424-6519;;Aastaraamat;Aastaraam Eesti Tead Seltsi Rootsis
0003-9705;;Archives des sciences;Arch Sci
0001-320X;;Aberdeen University review;Aberdeen Univ Rev
0391-7770;;Archivio storico italiano;Arch Stor Ital
0044-5851;;Acadiensis;Acadiensis
0066-5894;;Archaeologia cantiana;Archaeol Cantiana
0303-7940;;Archifacts;Archifacts
0409-5448;;L;Archiginnasio
0003-8105;;Archaologischer Anzeiger;Archaeol Anz
0318-6954;;Archivaria;Archivaria
0146-4132;;Aramco world magazine;Aramco World Mag
0210-4067;;Archivo hispalense;Arch Hisp
0335-5985;;Archives de sciences sociales des religions;Arch Sci Soc Relig
0567-7289;;Acta Baltica;Acta Balt
0400-4019;;Acta ethnologica et linguistica;Acta Ethnol Linguist
0001-6829;;Acta Poloniae historica;Acta Pol Hist
0001-9046;;Aegyptus;Aegyptus
0004-9670;;The Australian library journal;Aust Libr J
0705-2855;;The Archivist;Archivist
0004-038X;;Archivmitteilungen;Archivmitteilungen
0004-1408;;Arizona and the West;Ariz West
0004-1823;;The Arkansas historical quarterly;Ark Hist Q
0004-2366;;The Armenian review;Armen Rev
0590-966X;;Arquivos do Centro Cultural Portugues;Arq Cent Cult Port
0898-297X;;Art in America;Art Am
0004-3079;;The Art bulletin;Art Bull
0141-6790;;Art history;Art Hist
0300-4953;;Artes de Mexico;Artes Mex
0066-8176;;Arv;Arv
0004-4482;;Asia major;Asia Major
0066-8281;;Asian and African studies;Asian Afr Stud
0065-1141;;Acta classica;Acta Cl
0385-2342;;Asian folklore studies;Asian Folkl Stud
0258-9184;;Asian perspective;Asian Perspect
0578-5391;;Acta Musei Napocensis;Acta Mus Napocensis
0361-3968;;Asian thought;Asian Thought Soc
0567-8293;;Acta Universitatis Carolinae;Acta Univ Carol Philos Hist
0896-3975;;Atlanta history;Atlanta Hist
0162-5721;;The Atlanta historical journal;Atlanta Hist J
0360-389X;;Adventist heritage;Advent Herit
0001-9364;;Aerospace historian;Aerosp Hist
0001-9593;;Aevum;Aevum
0145-2258;;African economic history;Afr Econ Hist
0001-9992;;African historical studies;Afr Hist Stud
0002-032X;;Africana notes and news;Afr Notes News
0002-0427;;Afrika und Ubersee;Afr Uebersee
0004-8127;;Ausgrabungen und Funde;Ausgrab Funde
0728-8433;;Australian cultural history;Aust Cult Hist
0004-8992;;Australian economic history review;Aust Econ Hist Rev
1031-461X;;Australian historical studies;Aust Hist Stud
0004-9468;;Australian journal of French studies;Aust J Fr Stud
0004-9522;;The Australian journal of politics and history;Aust J Polit Hist
0005-0091;;The Australian quarterly;Aust Q
0396-4590;;Austriaca;Austriaca
0035-2683;;Asia quarterly;Asia Q
0392-0836;;Atti e memorie dell;Atti Mem Accad Toscana Sci Lett Colombaria
0239-2275;;Acta Academiae Scientiarum Polonae;Acta Acad Sci Pol
0364-2437;;Afro;Afro Am N Y Life Hist
0091-4371;;American horseman;Am Horseman
0531-9870;;Annali della Fondazione Luigi Einaudi;Ann Fond Luigi Einaudi
0002-9475;1086-3168;American journal of philology;Am J Philol
0164-0178;1086-3141;American Jewish history;Am Jew Hist
0003-0678;1080-6490;American quarterly;Am Q
0003-1283;;American speech;Am Speech
0003-0554;;The American political science review;Am Polit Sci Rev
0003-4134;;Annales de Normandie;Ann Normandie
0003-4398;;Annales du Midi;Ann Midi
0003-4827;;Annals of Iowa;Ann Iowa
0398-5458;;Annales historiques du Mantois;Ann Hist Mantois
0005-2574;;Aziia i Afrika segodnia;Aziia Afr Segodnia
0006-4459;;Blatter fur Heimatkunde;BL Heimatkd
0006-1646;;Boletin de la Biblioteca de Menendez Pelayo;Bol Bibl Menendez Pelayo
0210-475X;;Boletin del Centro de Estudios del Siglo XVIII;Bol Cent Estud Siglo XVIII
0307-3378;;Bulletin of economic research;Bull Econ Res
0887-5413;;Bulletin of the Gloucester County Historical Society;Bull Gloucester Cty Hist Soc
0016-8114;;Bulletin of the Georgia Academy of Science;Bull Ga Acad Sci
0335-508X;;Bulletin des etudes Valeryennes;Bull Etud Valeryennes
0195-2625;;British history illustrated;Br Hist Illus
0007-1846;;The British studies monitor;Br Stud Monit
0005-2604;;Aztlan;Aztlan
0005-2949;;BC studies;B C Stud
0793-3894;;BDD;BDD
0392-7660;;Balcanica;Balcanica
0005-4453;;Baltimore magazine;Baltim Mag
0005-5719;;Baptist history and heritage;Baptist Hist Herit
0005-576X;;The Baptist quarterly;Baptist Q
0198-7356;;Bartonia;Bartonia
0067-4540;;Basler Zeitschrift fur Geschichte und Altertumskunde;Basl Z Gesch Altertumskd
0747-6108;;African urban quarterly;Afr Urban Q
0005-7517;;The Beaver;Beaver
0522-6341;;Beitrage zur deutschen Philologie;Beitr Dtsch Philol
0002-1105;;Agrartorteneti szemle;Agratort Szle
0002-1490;;The Agricultural history review;Agric Hist Rev
0035-0877;;Revue belge d;Rev Belge Hist Milit
0035-0869;;Revue belge d;Belg Tijdschr Nieuwste Geschied
0222-9536;;Aguiaine;Aguiaine
0250-6831;;Belizean studies;Belizean Stud
0516-3145;;Akademiska Dzive;Akad Dzive
0041-4255;;Belleten;Belleten
0005-8807;;Bengal;Bengal Past Present
0887-493X;;Alabama heritage;Ala Herit
0011-9970;;Berichte der Deutschen Botanischen Gesellschaft;Ber Dtsch Bot Ges
0002-4503;;Alaska journal;Alaska J
0067-6195;;Berytus;Berytus
0772-764X;;Bevolking en gezin;Bevolking Gezin
0095-1390;;Albion;Albion
0065-6585;;Alt;Alt Thuring
0520-0768;;Biblos;Biblos
0002-6646;;Das Altertum;Altertum
0165-0505;;Bijdragen en mededelingen betreffende de geschiedenis der Nederlanden;Bijdr Meded Geschied Ned
0006-2375;;Bild der Wissenschaft;Bild Wiss
0002-7316;;American antiquity;Am Antiq
0162-4962;;Biography;Biography
0002-7359;;The American art journal;Am Art J
0002-7650;;The American Benedictine review;Am Benedictine Rev
0006-4033;;Biuletyn Zydowskiego Instytutu Historycznego;Biul Zydowskiego Inst Hist Pol
0002-8738;;American heritage;Am Herit
0002-8770;;American history illustrated;Am Hist Illus
0006-4416;;Blatter fur deutsche und internationale Politik;Bl Dtsch Int Polit
0192-9968;;American Indian art magazine;Am Indian Art Mag
0095-182X;;American Indian quarterly;Am Indian Q
0006-470X;;Bleter far geshikhte;BL Gesz
0341-9479;;Blatter fur wurttembergische Kirchengeschichte;BL Wueritemb Kirchengesch
0006-4246;;The Black scholar;Black Scholar
0006-4548;;Blake studies;Blake Stud
0006-5692;;Bogens verden;Bogens Verden
0365-2017;;Annales de l;Ann Est
0549-1533;;Annales;Ann Fac Lett Sci Hum Nice
0523-8587;;Bohemia;Bohemia Jahrb Coll Carolinum
0252-841X;;Boletin de antropologia americana;Bol Antropol Am
0185-366X;;Boletin bibliografico de la Secretaria de Hacienda y Credito Publico;Bol Bibliogr Secr Hacienda Credito Publico
0002-9319;;The American journal of legal history;Am J Leg Hist
0304-2634;;Boletin de estudios latinoamericanos y del Caribe;Bol Estud Latinoam Caribe
0006-6303;;Boletin de historia y antiguedades;Bol Hist Antig
0020-3726;;Boletim do Instituto de Angola;Bol Inst Angola
0002-905X;;American Jewish archives;Am Jew Arch
0524-9767;;Boletin del Instituto de Historia Argentina y Americana;Bol Inst Hist Argent Am Dr Emilio Ravignani
0211-2396;;Boletin de la Institucion Sancho el Sabio;Bol Inst Sancho Sabio
0002-9068;;American Jewish historical quarterly;Am Jew Hist Q
0210-5454;;Boletin de la Universidad de Granada;Bol Univ Granada
0003-0473;;The American philatelist;Am Philat
0068-0052;;Bonner Geschichtsblatter;Bonn Geschichtsbl
0006-7237;;The Book collector;Book Collect
0006-8098;;Botanical Museum leaflets;Bot Mus Lealf Harv Univ
0272-2011;;The American review of Canadian studies;Am Rev Can Stud
0525-5090;;Botswana notes and records;Botsw Notes Rec
0044-7471;;Amerasia journal;Amerasia J
0340-2827;;Amerikastudien;Amerikastudien
0165-9278;;Amstelodamum;Amstelodamum
0185-1225;;Anales de antropologia;An Antropol
0350-1418;;Anali Gazi Husrev;An Gazi Husrev Begove Bibl
0212-6559;;Anales de historia contemporanea;An Hist Contemp
0584-6374;;Anales del Instituto de Estudios Madrilenos;An Inst Estud Madr
0374-5317;;Anales del Instituto Nacional de Antropologia e Historia;An Inst Nac Antropol Hist
0003-3286;;Anglican theological review;Anglican Theol Rev
0195-2633;;British heritage;Br Herit
0141-867X;;The British journal for eighteenth;Br J 18th Cent Stud
0305-8026;;British journal of international studies;Br J Int Stud
0306-3704;;British journal of law and society;Br J Law Soc
0264-9373;;The British journal of sports history;Br J Sports Hist
0305-5167;;The British Library journal;Br Libr J
0068-1199;;Britannica yearbook of science and the future;Br Yearb Sci
0007-1234;;British journal of political science;Br J Polit Sci
0002-4236;;The Alabama historical quarterly;Ala Hist Q
0569-082X;;Alma Mater Philippina;Alma Mater Philipp
0254-7325;;Boletin de la Academia Nacional de la Historia;Bol Acad Nac Hist
0210-1475;;Boletin de la Sociedad Castellonense de Cultura;Bol Soc Castell Cult
0338-4446;;Bulletin de la Bibliotheque nationale;Bull Bibl Nat
0007-0106;;Brigham Young University studies;Brigham Young Univ Stud
0309-7765;;Bronte Society transactions;Bronte Soc Trans
0002-712X;;Bulletin;Bull Am Acad Arts Sci
0184-6957;;Bulletin de l;Bull Assoc Guillaume Bude
0068-2306;;Bulletin of the British Museum;Bull Br Mus
0249-5902;;Bulletin du Centre d;Bull Cent Hist Econ Soc Reg Lyon
0508-3052;;Wen shi zhe xue bao;Bull Coll Lib Arts
0742-8995;;Bulletin;Bull Cosm Club
1145-7325;;Bulletin de la societe archeologique;Bull Soc Archeol Hist Artist Vieux Pap
0991-1367;;Bulletin de la Societe d;Bull Soc Hist Mod
0037-9425;;Bulletin de la Societe historique et archeologique du Perigord;Bull Soc Hist Archeol Perigord
0037-9441;;Bulletin de la Societe industrielle de Mulhouse;Bull Soc Ind Mulhouse
0081-1181;;Bulletin de la Societe nationale des antiquaires de France;Bull Soc Nat Antiq Fr
0399-0826;;Annales de Bretagne et des pays de l;Ann Bretagne Payes Ouest
0740-8536;;The Annals of the Chinese Historical Society of the Pacific Northwest;Ann Chin Hist Soc Pac Northwest
0521-8195;;Burgense;Burgense
0007-6287;;The Burlington magazine;Burlingt Mag
0007-6791;;Business history;Bus Hist
0084-8212;;By og bygd;By Bygd
0007-7704;;Byzantinische Zeitschrift;Byzantinische Z
0007-7712;;Byzantinoslavica;Byzantinoslavica
0379-4830;;Cabo;Cabo
0120-2812;2323-0118;Acta agronomica;Acta Agron
0575-0385;;Cahiers alsaciens d;Cah Alsac Archeol Art Hist
1141-7161;;Cahiers des Ameriques latines;Cah Am Lat
0231-6005;;Acta historiae rerum naturalium necnon technicarum;Acta Hist Rerum Nat Tech
0133-5545;;Bulletin du Musee hongrois des beaux;Bull Mus Hong B Arts
0027-3856;;Bulletin;Bull Mus Rov Beaux Arts Belg
0151-9093;;L;Actual Chim
0002-0087;;African notes;Afr Notes
0041-977X;;Bulletin of the School of Oriental and African Studies;Bull Sch Orient Afr Stud
0024-0915;;Bulletin des Leo Baeck Instituts;Bull Leo Baeck Inst
0316-1552;;Alberta history;Alberta Hist
0401-2739;;Albertus Magnus Blatter;Albertus Magnus Blaett
0007-5035;;Bulletin of peace proposals;Bull Peace Propos
0395-2649;;Annales;Ann Econ Soc Civilis
0068-4023;;Bulletin de philosophie medievale;Bull Philos Mediev
0002-6670;;Der Altsprachliche Unterricht;Altsprachi Unterr
0758-7171;;Bulletin d;Bull Hist Electr
0366-4228;;Bulletin de l;Bull Inst Egypte
0041-9761;;Bulletin of the Institute of Historical Research;Bull Inst Hist Res
1029-4740;;Zhong yang yan jiu yuan jin dai shi yan jiu suo ji kan;Bull Inst Mod Hist Acad Sin
1046-2368;;Bulletin;Bull J N Y State Archeol Assoc
0018-2508;;Historical New Hampshire;Hist N H
0161-5440;;Historical methods;Hist Methods
0399-9734;;Bulletin de la Section d;Bull Sect Hist Mod Contemp
0373-952X;;Bulletin de la Societe d;Bull Soc Agric Sci Arts Sarthe
0004-0665;;Archivum franciscanum historicum;Arch Franciscanum Hist
0066-6459;;Archiv fur Papyrusforschung und verwandte Gebiete;Arch Papyrusforsch
0392-0232;;Archivio storico lombardo;Arch Stor Lomb
0261-3417;;Archaeologia aeliana;Archaeol Aeliana
0004-0975;1080-6504;Arethusa;Arethusa
0004-2552;;The Army quarterly and defence journal;Army Q Def J
0004-6558;;Ateneo Veneto;Ateneo Veneto
0570-1600;;Cahiers des annales de Normandie;Cah Ann Normandie
0007-9693;;Cahiers d;Cah Archeol Hist Berry
0761-9111;;Cahiers de civilisation alpine;Cah Civilis Alp
0575-0598;;Cahiers de Clio;Cah Clio
0008-0055;;Cahiers d;Cah Etud Afr
0317-5065;;Cahiers des etudes anciennes;Cah Etud Anc
0395-8418;;Les Cahiers de Fontenay;Cah Fontenay
0008-0241;;Cahiers geologiques;Cah Geol
0008-025X;;Les Cahiers haut;Cah Haut Marnais
1220-0255;;Analele Universitatii Bucuresti;An Univ Bucur Istor
0022-5436;;Cahiers d;Cah Hist Mond
0771-6435;;Cahiers d;Cah Hist Second Guerr Mond
0304-4300;;Analecta sacra Tarraconensia;Analecta Sacra Tarracon
1010-3643;;Cahiers internationaux d;Cah Int Hist Econ Soc
0399-1415;;Cahiers Leopold Delisle;Cah Leopold Delisle
0340-5222;;Anglia;Anglia
0263-6751;;Anglo;Anglo Sax Engl
0008-0160;;Cahiers du monde russe et sovietique;Cah Monde Russe Sov
0150-9535;;Les Cahiers de la recherche architecturale;Cah Rech Archit
0261-3050;;Bulletin of Latin American research;Bull Lat Am Res
0008-0047;;Cahiers des religions africaines;Cah Relig Afr
0008-0012;;Les cahiers de Tunisie;Cah Tunis
0092-5853;;American journal of political science;Am J Pol Sci
0335-5322;;Actes de la recherche en sciences sociales;Actes Rech Sci Soc
0220-5610;;Cahiers victoriens;Cah Victor Edouardiens
0048-8046;;Cahiers Vilfredo Pareto;Cah Vilfredo Pareto
0002-9831;;American literature;Am Lit
0745-5895;;The Californians;Californians
0090-8290;;Canadian;Can Am Slav Stud
0026-3079;;American studies;Am Stud
0008-3402;;Canadian dimension;Can Dimens
0008-3496;;Canadian ethnic studies;Can Ethn Stud
0706-2168;;Canadian geographic;Can Geogr
0008-3755;;The Canadian historical review;Can Hist Rev
0008-3968;;Canadian journal of African studies;Can J Afr Stud
0008-4115;;Canadian journal of history of sport and physical education;Can J Hist Sport Phys Educ
0705-3002;;Canadian journal of Italian studies;Can J Ital Stud
0826-3663;;Canadian journal of Latin American and Caribbean studies;Can J Lat Am Caribb Stud
0715-3244;;The Canadian journal of native studies;Can J Native Stud
0008-4336;;Canadian labour;Can Labour
0068-8878;;Historical papers;Hist Pap Can Hist Assoc
0439-2345;;Historical news;Hist News
0185-0172;;Historia mexicana;Hist Mex
0223-4173;;Histoire magazine;Hist Mag
0073-2702;;Historiska och litteraturhistoriska studier;Hist Litteraturhist Stud
0097-6059;;California historical quarterly;Calif Hist Q
0008-008X;;Cahiers d;Cah Hist
0012-9984;;The Economic and social review;Econ Soc Rev
0012-9798;;Economia e storia;Econ Stor
0013-2683;;Eire;Eire Irel
0001-9909;;African affairs;Afr Aff
0459-9969;;Acta Universitatis Lundensis;Acta Univ Lund
0007-7720;;Canadian review of American studies;Can Rev Am Stud
0590-7977;;Cantium;Cantium
0008-6525;;Caribbean review;Caribb Rev
0008-6533;;Caribbean studies;Caribb Stud
0008-6606;;Carinthia I;Carinthia I
0576-7849;;The Carmarthensire hisorian;Carmarthensh Hist
0323-052X;;Casopis Matice moravske;Cas Matice Moravske
0590-5966;;Casopis za zgodovino in narodopisje;Cas Zgodovino Narodop
0273-3072;;The Cato journal;Cato J
0008-9389;;Central European history;Cent Eur Hist
0162-0177;;The Centennial review;Centen Rev
0098-924X;;Centerpoint;Centerpoint
0045-6187;;Ceskoslovensky casopis historicky;Cesk Cas Hist
0009-2002;;The Chaucer review;Chaucer Rev
0012-1045;;Deutsche Zeitschrift fur Philosophie;Dtsch Z Philos
0012-6861;;Dublin historical record;Dublin Hist Rec
0317-0500;;The Chesterton review;Chesterton Rev
0272-8540;;Chicago history;Chic Hist
0419-7933;;Dubrovnik;Dubrovnik
0009-4544;;Chinese culture;Chin Cult
0305-7410;;The China quarterly;China Q
0012-7280;;The Durham University journal;Durham Univ J
0012-8163;;Early American literature;Early Am Lit
0736-623X;;Earth sciences history;Earth Sci Hist
0094-3037;;East central Europe;East Cent Eur
0012-8449;;East European quarterly;East Eur Q
0009-4455;;China report;China Rep
0578-0160;;Christiana Albertina;Christiana Albertina Kiel Univ Z
0012-8813;;Eastern horizon;East Horiz
0361-6193;;The East Tennessee Historical Society;East Tenn Soc Publ
0012-933X;;Echoes;Echoes
0009-6024;;Chronicles of Oklahoma;Chron Okla
0009-6709;;Ciel et terre;Ciel Terre
0194-2883;;The Cincinnati Historical Society bulletin;Cinci Hist Soc Bull
0009-8078;;Civil War history;Civ War Hist
0013-0117;1468-0289;The Economic history review;Econ Hist Rev
